ambulancer;bikeage_gr;bike_age;bike_dir;bike_injur;bike_pos;bike_race;bike_sex;city;county;crashalcoh;crashday;crash_loc;crash_mont;crash_time;crash_year;crsh_sevri;drvrage_gr;drvr_age;drvr_alc_d;drvr_estsp;drvr_injur;drvr_race;drvr_sex;excsspdind;hit_run;light_cond;locality;num_lanes;num_units;rd_charact;rd_class;rd_defects;rd_surface;rural_urba;speed_limi;weather;workzone_i
Yes;30-39;30;With Traffic;B: Evident Injury;Travel Lane;White;Male;Carrboro;Orange;Yes;Friday;Intersection;February;22:47;2008;B: Evident Injury;40-49;43;No;16-20 mph;O: No Injury;Asian;Male;No;No;Dark - Lighted Roadway;Urban (>70% Developed);3 lanes;2.0;Straight - Level;Local Street;None;Coarse Asphalt;Urban;20 - 25  MPH;Clear;No
Yes;20-24;21;Not Applicable;B: Evident Injury;Non-Roadway;White;Male;Chapel Hill;Orange;No;Saturday;Non-Roadway;June;22:54;2010;B: Evident Injury;50-59;55;No;Unknown;Unknown Injury;White;Male;No;No;Dark - Lighted Roadway;Urban (>70% Developed);Unknown;2.0;Straight - Level;Public Vehicular Area;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
Yes;16-19;19;Facing Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Female;Chapel Hill;Orange;No;Friday;Intersection;April;13:55;2012;B: Evident Injury;60-69;60;No;Unknown;O: No Injury;White;Male;No;No;Daylight;Urban (>70% Developed);5 lanes;2.0;Straight - Grade;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
Yes;30-39;39;Facing Traffic;C: Possible Injury;Travel Lane;Asian;Female;Chapel Hill;Orange;No;Thursday;Intersection;August;16:33;2011;C: Possible Injury;50-59;54;No;0-5 mph;O: No Injury;White;Male;No;No;Daylight;Mixed (30% To 70% Developed);4 lanes;2.0;Curve - Level;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
Yes;11-15;13;With Traffic;B: Evident Injury;Travel Lane;Black;Male;Chapel Hill;Orange;No;Saturday;Non-Intersection;May;15:13;2009;B: Evident Injury;40-49;44;No;Unknown;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
Yes;70;70;Not Applicable;C: Possible Injury;Non-Roadway;White;Male;Chapel Hill;Orange;No;Tuesday;Non-Roadway;June;7:25;2009;C: Possible Injury;25-29;25;No;0-5 mph;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);Unknown;2.0;Straight - Level;Public Vehicular Area;None;Smooth Asphalt;Urban;Unknown;Clear;No
No;20-24;22;Facing Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Male;Chapel Hill;Orange;No;Thursday;Intersection;May;16:23;2010;B: Evident Injury;50-59;54;No;6-10 mph;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);6 lanes;2.0;Straight - Level;NC Route;None;Smooth Asphalt;Urban;30 - 35  MPH;Clear;No
Yes;11-15;13;With Traffic;B: Evident Injury;Travel Lane;White;Male;Durham;Durham;No;Friday;Intersection;April;15:26;2008;B: Evident Injury;0-19;16;No;6-10 mph;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);8 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;30 - 35  MPH;Clear;No
No;25-29;29;With Traffic;C: Possible Injury;Bike Lane / Paved Shoulder;White;Female;Carrboro;Orange;No;Friday;Non-Intersection;September;17:58;2012;C: Possible Injury;0-19;16;No;0-5 mph;O: No Injury;White;Male;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;None;Coarse Asphalt;Urban;20 - 25  MPH;Clear;No
Yes;30-39;30;Facing Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Female;Chapel Hill;Orange;No;Friday;Intersection;April;18:33;2010;B: Evident Injury;30-39;35;No;6-10 mph;O: No Injury;White;Male;No;No;Daylight;Urban (>70% Developed);9 or more lanes;2.0;Straight - Grade;NC Route;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
Yes;50-59;54;Unknown;A: Disabling Injury;Travel Lane;White;Male;Carrboro;Orange;No;Monday;Intersection-Related;April;7:58;2011;A: Disabling Injury;40-49;49;No;16-20 mph;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);4 lanes;2.0;Curve - Level;NC Route;None;Smooth Asphalt;Urban;40 - 45  MPH;Cloudy;No
Yes;25-29;28;With Traffic;B: Evident Injury;Travel Lane;White;Female;Chapel Hill;Orange;No;Tuesday;Intersection;September;22:51;2011;B: Evident Injury;0-19;19;No;0-5 mph;O: No Injury;White;Male;No;No;Dark - Lighted Roadway;Urban (>70% Developed);4 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
Yes;30-39;35;With Traffic;C: Possible Injury;Bike Lane / Paved Shoulder;White;Male;Chapel Hill;Orange;Yes;Friday;Non-Intersection;May;16:03;2012;C: Possible Injury;20-24;22;Yes;16-20 mph;O: No Injury;White;Male;No;Yes;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Grade;NC Route;None;Smooth Asphalt;Urban;30 - 35  MPH;Cloudy;No
Yes;50-59;51;With Traffic;K: Killed;Travel Lane;Black;Male;None - Rural Crash;Orange;Yes;Sunday;Non-Intersection;June;0:42;2012;K: Killed;25-29;27;No;51-55 mph;O: No Injury;Black;Female;No;No;Dark - Roadway Not Lighted;Rural (<30% Developed);2 lanes;2.0;Curve - Level;NC Route;None;Coarse Asphalt;Rural;50 - 55  MPH;Clear;No
